,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
25,2,4.3944396973,-0.9261016846,-0.2530212402,-5.7947692871,0.5637359619,-8.1766815186,0.0607833862,-4.5951843262,1.2416229248,-0.907913208,-1.0202178955,2.5873260498,-2.5948562622,3.4940032959,-4.3413085938,2.5700683594,-4.7099838257,-1.8750839233,6.5256538391,-4.7447052002,20.1852493286,-11.7011375427,9.6932106018,-3.8051681519,0.0023258179,-0.0069244131,-0.0069244131,-1.3481632046,-3.0225482263,-1.296170548
26,2,-6.4514465332,3.4907836914,5.0314483643,1.9884796143,9.3611106873,-1.4274749756,6.6312980652,0.9117279053,1.0459899902,-1.0651092529,-1.0743103027,-0.0384979248,-8.077545166,-1.4966278076,-1.5222930908,-2.140838623,-8.3571090698,-1.5143432617,12.9541301727,-12.8120803833,3.5914993286,-3.0096282959,10.5370521545,0.8804855347,0.0078685917,-0.0070927963,-0.0070927963,-1.7605011637,-7.3712884079,3.2031182513
27,2,-5.3047485352,-2.012588501,0.3623809814,-9.5473480225,3.488609314,-7.490447998,9.0714931488,-7.8927307129,0.9680786133,-11.7272796631,-1.1821136475,-6.1230010986,-2.990020752,13.020614624,1.0079879761,11.0538330078,-4.0562667847,-2.7233352661,10.1927719116,-8.466884613,11.1044692993,-10.0116291046,9.5263652802,4.473526001,-0.0104347374,0.0345989838,0.0345989838,-1.347659427,-1.2028956826,-1.8362501966
28,2,5.9049377441,0.3451690674,-6.4909820557,-11.1362609863,-9.763420105,-10.5352630615,-5.5966920853,-10.9341125488,-1.0087585449,-7.2729492188,-1.7533111572,1.3031768799,4.382194519,9.0460968018,2.8386383057,8.0988006592,1.9753036499,-7.0721969604,1.622385025,-4.4196395874,11.1715774536,-9.8727912903,4.246884346,7.8137512207,-0.0054504797,0.050752338,0.050752338,-0.4047731989,3.7560467967,-1.8914183908
29,2,8.660369873,-9.7071533203,1.9143829346,-15.178237915,-8.2240753174,-12.0025787354,4.4874420166,-9.7020568848,1.1433105469,-12.8009796143,-6.291519165,1.3249053955,2.3685951233,7.611618042,-6.64012146,4.7232055664,5.462890625,-4.9882965088,2.7560386658,-7.8520278931,23.8319320679,-15.8130054474,4.4911193848,1.4008560181,0.0004137531,0.0131854489,0.0131854489,-1.6343553949,-0.1208576484,1.9094833949
30,2,-0.5718688965,3.0994873047,1.8668746948,-1.0904083252,3.6762466431,-0.9819793701,0.1238183975,0.4685974121,-0.1649475098,0.2009735107,0.1222839355,-1.015838623,-1.0080947876,-4.642578125,-1.5456314087,-4.478225708,-2.6877632141,-3.3578796387,0.5348320007,-5.259513855,0.2796554565,2.4088668823,3.5144443512,8.6190643311,-0.0048215501,0.006086383,0.006086383,0.8751618755,0.3663693646,-0.8967417141
31,2,-3.889465332,1.460723877,2.3588867188,3.1847686768,7.0295410156,-1.2027740479,-4.4966506958,-2.1309051514,-1.5257873535,2.1569366455,0.8806304932,4.6107635498,-0.5480194092,1.4677581787,3.3046112061,-0.3495178223,0.0914535522,2.0165023804,1.8440208435,-12.6824226379,-4.1639938354,-4.4270629883,5.1535568237,-2.0680618286,0.0033388156,0.0022719335,0.0022719335,-2.7773397206,-0.4218202472,-0.121782863
32,2,-3.4053497314,4.608795166,1.4701080322,3.5815582275,-1.6103630066,1.7625579834,-8.1034154892,1.6893005371,-2.8372955322,5.5612792969,-4.5845336914,2.0862731934,4.865814209,-7.1113891602,2.3140945435,-4.4420166016,9.7957420349,-4.154258728,2.1688919067,-4.4914512634,6.0003509521,-2.7523288727,4.6392917633,9.6107635498,-0.0037043337,-0.0023214817,-0.0023214817,3.623543359,1.298025342,-0.2728449363
33,2,1.758392334,-1.9185943604,4.8742828369,-0.4241485596,-1.1689910889,-1.3287506104,3.0789260864,0.9479217529,-3.2560119629,3.5948638916,-6.6148681641,-1.0438232422,0.6997375488,-1.5524902344,1.3970718384,-0.4492492676,4.2530899048,2.7950439453,1.538028717,-4.2035675049,8.5302886963,2.6536712646,-1.2304534912,2.5724716187,-0.0028114924,0.0124759562,0.0124759562,3.5251360562,-0.0411725036,-0.0988623833
34,2,20.5567016602,6.7800445557,11.0317230225,4.4145202637,-5.9902191162,0.1231079102,-15.4587545395,-5.6025848389,-1.4177322388,-5.4457550049,9.0304107666,1.9126739502,7.3720169067,8.3333282471,-4.3381271362,3.1776428223,9.0573043823,-14.0331001282,-12.2744522095,-16.9086685181,-6.2204055786,3.0983810425,-1.5192813873,17.3002243042,-0.0072266292,0.0034573823,0.0034573823,1.7126219267,7.0553155746,2.6778850519
35,2,-4.5870819092,3.9385223389,-2.5530548096,-0.0586395264,2.0348320007,0.9815368652,-2.3780097961,0.8700561523,-1.6331176758,-0.7784881592,-2.3518218994,1.0814208984,1.3103713989,-3.8648223877,1.3096084595,-1.5327301025,4.5952835083,-3.4998092651,9.7767105103,-5.3812580109,10.1688156128,-1.8525829315,5.6565942764,11.9746704102,0.0009554001,-0.0168328881,-0.0168328881,0.8517783158,-0.3401367892,-1.1152202039
36,2,3.8135986328,3.5953521729,-0.2943267822,-0.0869598389,4.5086936951,-7.0311737061,-2.8513698578,-7.1324462891,0.5374145508,1.5095825195,-0.6602325439,4.812713623,-4.2714614868,3.8019561768,-0.9857330322,3.845993042,-3.4212646484,4.7762069702,5.1194419861,-12.4749336243,4.3192062378,0.6451225281,7.1356172562,1.8196258545,-0.0013145749,0.005228553,0.005228553,-3.0454168022,0.0583258722,-1.218734395
37,2,-5.8146820068,-14.1165466309,-3.0200881958,-20.6222076416,-5.6581192017,-5.7478485107,12.4383869171,-5.8634490967,3.4163131714,-8.4130706787,-11.2601165771,-5.0317077637,-6.4733886719,5.8788604736,2.7091064453,5.7761230469,-17.5498733521,-1.4837799072,9.5015392303,-2.565700531,15.193069458,-11.7231578827,11.0879049301,2.9853668213,-0.0041508041,0.0091794841,0.0091794841,4.2374365505,-2.0737749077,0.6389239281
38,2,5.0486755371,9.7239074707,-4.3599090576,-11.5524139404,-3.5973358154,-11.2121124268,8.3224725723,-8.6601257324,4.0753631592,-4.6089782715,-1.5704498291,1.0470581055,-1.9879608154,-7.4710235596,-0.8587493896,-10.1686096191,-0.6582260132,4.3285827637,-18.9213867188,-8.2554130554,-4.6270828247,7.6540355682,-6.3523483276,16.2158355713,0.0065835174,0.0130332448,0.0130332448,-4.2439644658,-0.921867406,-1.2087760004
39,2,-4.0512390137,-1.109375,1.1171264648,7.1122131348,1.1677017212,3.2468109131,2.6388034821,1.9479980469,2.0398864746,10.2820739746,-1.4830474854,6.5140228271,-5.7653198242,-2.5741271973,-2.7219696045,-3.967880249,2.9308319092,1.4903411865,10.3713989258,0.8344230652,12.1675186157,-3.2979125977,8.1570224762,0.7885742188,-0.001196716,0.015575598,0.015575598,1.7997449618,-0.2652572101,2.3756030474
40,2,11.7859344482,-1.4779815674,-1.0505142212,-3.4605102539,-12.5655937195,-6.3232879639,-3.575507164,-13.0746917725,-2.8611755371,-8.5871276855,2.0469970703,-5.2147827148,-6.1716156006,17.5909881592,-6.1575927734,5.5796051025,-6.0376281738,-12.8023719788,-18.2887821198,-10.5641059875,15.1128768921,7.3958282471,-7.0996227264,4.7953567505,-0.0072973855,-0.0157066062,-0.0157066062,-8.7977011499,5.3885154082,-7.4158410519
