,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
64,5,18,33,25,50,24,63,15,70,16,76,13,74,11,48,10,66,-15,76,-18,78,-28,92,-27,104,0.0078754439,-0.0107771307,-0.0107771307,5.0064799088,-3.8585212868,5.0066009021
65,5,38,31,46,57,36,71,31,81,31,90,27,87,31,46,23,68,-3,53,-16,69,-27,76,-25,69,0.0016096365,-0.0117439404,-0.0117439404,3.36437134,-1.1401035626,7.5801410403
66,5,-5,9,-3,2,1,1,1,1,4,3,7,8,2,5,5,7,4,10,7,4,12,11,8,-1,-0.0031197445,-0.0039250031,-0.0039250031,-2.7907234718,1.8027519345,0.2924643067
67,5,4,52,10,63,8,68,-19,64,0,62,15,65,-2,42,2,44,6,75,-22,65,-33,75,-24,71,0.0026011493,-0.0098214447,-0.0098214447,6.0277688897,1.8952932065,0.8129614875
68,5,6,-30,8,-25,9,-24,4,-22,10,-15,9,-9,3,-30,7,-21,-1,-17,-5,-26,-5,-9,-7,-28,0.0006345836,0.0075763762,0.0075763762,-0.8724324469,0.7939370768,3.1088934755
69,5,8,20,15,53,6,69,-4,71,6,61,18,52,4,28,9,37,-6,42,-20,46,-24,48,-26,46,0.0001192004,-0.0033975989,-0.0033975989,11.7203505287,5.5551101884,2.2335486519
70,5,-8,-9,-5,-23,8,-27,5,-26,11,-20,11,-12,0,-14,7,-14,2,4,8,-8,6,-1,9,-8,7.25686550140398E-05,0.0026389919,0.0026389919,-1.3588017322,-0.7083489226,0.1751776761
71,5,10,41,10,51,-1,60,2,55,7,52,20,45,8,39,13,36,-3,40,-6,47,7,40,-2,39,-0.0068731185,-0.0095121637,-0.0095121637,4.0126134138,6.8930370424,-0.118490808
72,5,10,-45,19,-41,29,-45,19,-58,24,-56,22,-51,17,-54,23,-56,27,-42,18,-52,18,-35,19,-48,-0.0055975239,0.0158328302,0.0158328302,0.6449900813,-0.4767625977,-0.8944362587
73,5,14,19,15,18,16,16,10,11,6,12,-3,15,14,12,3,12,11,18,13,14,6,18,9,13,0.0012970753,-0.0054251924,-0.0054251924,-0.876076167,-5.0770076524,-0.0896260165
